name,input,output,delay
C,9,3,1
C,12,0,65537
C,9,6,0
C,9,6,1
C,6,4,65537
C,9,9,0.3
C,8,8,0
C,12,0,65537
C,9,3,1
C,9,3,0
C,9,3,0.5
C,8,0,65537
C,9,3,1
C,9,6,0.5
C,9,0,0.5
C,9,2,65537
C,8,2,65537
C,6,1,65537
C,8,2,0
C,8,2,65537
C,6,0,0
C,8,3,65537
C,12,0,65537
C,12,0,65537
C,9,0,0
C,6,6,0
C,9,0,1
C,9,3,0.5
C,9,0,0
C,9,3,0.3
C,9,3,1
C,12,2,65537
C,9,6,1
C,6,2,0
C,9,9,0.5
C,9,9,0
C,9,2,65537
C,9,0,-0.1
C,9,0,1
C,9,0,0
C,8,8,0
C,9,0,0
C,9,3,65537
C,9,9,-0.1
C,8,4,0
C,6,3,65537
C,9,3,0.3
C,9,3,65537
C,9,6,1
C,6,4,65537
C,8,2,0
C,12,1,65537
C,9,6,0.3
C,9,0,0.5
C,12,0,0
C,6,0,0
C,9,6,-0.1
C,9,0,1
C,9,0,0
C,8,1,65537
C,8,0,0
C,9,0,0
C,9,3,-0.1
C,9,0,0.5
C,8,2,0
C,12,0,65537
C,12,0,0
C,12,3,0
C,12,1,65537
C,9,9,0.5
C,9,0,0.3
C,9,0,-0.1
C,6,2,0
C,9,3,0
C,6,3,65537
C,6,4,0
C,8,3,65537
C,12,9,0
C,9,1,65537
C,9,3,65537
C,8,1,65537
C,8,2,0
C,6,6,0
C,12,3,0
C,9,3,0
C,8,2,65537
C,12,0,0
C,12,3,0
C,9,4,65537
C,6,0,0
C,6,3,65537
C,9,9,0.3
C,9,2,65537
C,6,2,65537
C,9,0,1
C,6,3,65537
C,8,3,65537
C,9,9,0.3
C,6,2,0
C,9,6,0
C,9,0,65537
C,9,9,0.5
C,12,0,0
C,8,4,0
C,8,2,0
C,9,0,-0.1
C,8,4,0
C,9,0,0
C,8,1,65537
C,6,3,65537
C,12,2,65537
C,9,6,0
C,8,2,65537
C,12,3,65537
C,9,3,65537
C,8,3,65537
C,12,12,0
C,6,3,65537
C,9,3,-0.1
C,9,9,0.5
C,9,9,1
C,9,0,0.3
C,9,1,65537
C,8,4,0
C,9,0,1
C,6,6,0
C,9,0,1
C,6,2,0
C,9,6,-0.1
C,9,0,1
C,9,3,0.3
C,6,3,65537
C,9,3,-0.1
C,9,6,0
C,8,3,65537
C,6,4,0
C,12,0,0
C,12,4,65537
C,12,3,0
C,12,3,65537
C,8,6,0
C,9,0,0.3
C,6,3,65537
C,9,3,65537
C,12,3,65537
C,8,4,0
C,9,0,-0.1
C,6,6,0
C,9,0,0.5
C,9,6,0.5
C,9,9,0.5
C,9,6,0
C,6,3,65537
C,9,3,1
C,9,2,65537
C,6,3,65537
C,9,3,65537
C,8,2,0
C,12,0,0
C,6,3,65537
C,9,0,65537
C,9,0,-0.1
C,9,3,0.3
C,9,3,0.5
C,6,3,65537
C,9,6,0
C,9,3,0.3
C,9,3,65537
C,12,0,0
C,12,6,0
C,8,2,65537
C,6,3,65537
C,9,0,-0.1
C,9,0,0
C,8,4,0
C,6,0,0
C,12,3,0
C,12,9,0
C,12,2,65537
C,9,3,0.5
C,12,4,65537
C,9,0,-0.1
C,12,6,0
C,8,2,65537
C,9,0,-0.1
C,6,6,0
C,8,0,0
C,9,3,0.3
C,12,0,65537
C,9,6,1
C,6,3,65537
C,9,0,0.5
C,9,0,1
C,8,2,65537
C,8,0,0
C,9,0,-0.1
C,12,2,65537
C,9,6,-0.1
C,9,6,0.3
C,12,2,65537
C,9,4,65537
C,9,0,1
C,9,6,0.3
C,9,0,0.5
C,6,4,0
C,9,0,1
C,6,2,0
C,12,0,65537
C,6,6,0
C,12,3,65537
C,8,2,65537
C,9,0,65537
C,9,9,-0.1
C,12,0,0
C,9,3,0
C,6,3,65537
C,6,4,0
C,9,6,0.3
C,9,0,0.3
C,9,3,65537
C,9,3,0.5
C,9,0,0.5
C,8,2,0
C,9,3,65537
C,8,3,65537
C,8,2,65537
C,9,0,0.3
C,8,2,0
C,9,3,-0.1
C,8,3,65537
C,9,3,-0.1
C,9,3,0.5
C,9,6,0.3
C,12,0,0
C,9,6,0.3
C,12,3,0
C,6,2,65537
C,9,3,-0.1
C,6,6,0
C,9,0,0
