name,input,output,delay
YSY,9,0,-0.1
YSY,9,0,1
YSY,9,6,0.5
YSY,9,6,0.5
YSY,9,0,0.5
YSY,9,6,-0.1
YSY,9,9,-0.1
YSY,9,6,0.5
YSY,9,0,0.5
YSY,9,0,0.3
YSY,9,0,1
YSY,9,3,1
YSY,9,9,1
YSY,9,9,0.3
YSY,9,9,0.3
YSY,9,9,0.5
YSY,9,0,-0.1
YSY,9,6,0.3
YSY,9,3,0.3
YSY,9,0,0.3
YSY,9,0,0.3
YSY,9,0,0.3
YSY,9,9,-0.1
YSY,9,6,0.5
YSY,9,6,0.3
YSY,9,6,1
YSY,9,0,1
YSY,9,0,1
YSY,9,0,0.3
YSY,9,6,1
YSY,9,3,-0.1
YSY,9,6,0.5
YSY,9,6,0.3
YSY,9,3,-0.1
YSY,9,6,-0.1
YSY,9,0,0.5
YSY,9,6,-0.1
YSY,9,9,-0.1
YSY,9,3,0.5
YSY,9,9,0.3
YSY,9,6,-0.1
YSY,9,3,0.5
YSY,9,3,-0.1
YSY,9,0,0.3
YSY,9,3,-0.1
YSY,9,3,1
YSY,9,9,-0.1
YSY,9,3,0.3
YSY,9,6,0.5
YSY,9,0,1
YSY,9,9,-0.1
YSY,9,9,-0.1
YSY,9,6,0.3
YSY,9,0,0.3
YSY,9,6,1
YSY,9,3,1
YSY,9,6,0.5
YSY,9,0,1
YSY,9,3,-0.1
YSY,9,0,1
YSY,9,0,0.5
YSY,9,0,1
YSY,9,0,0.3
YSY,9,0,0.5
YSY,9,0,0.5
YSY,9,3,0.5
YSY,9,0,0.5
YSY,9,3,1
YSY,9,6,0.3
YSY,9,0,1
YSY,9,9,-0.1
YSY,9,3,-0.1
YSY,9,0,0.5
YSY,9,6,0.3
YSY,9,0,1
YSY,9,0,0.3
YSY,9,3,1
YSY,9,0,1
YSY,9,3,-0.1
YSY,9,9,0.5
