name,input,output,delay
YSY,9,3,0
YSY,9,0,0
YSY,6,6,0
YSY,6,6,0
YSY,6,6,0
YSY,6,4,0
YSY,9,3,0
YSY,12,0,0
YSY,6,6,0
YSY,12,3,0
YSY,8,4,0
YSY,9,0,0
YSY,8,2,0
YSY,6,6,0
YSY,6,2,0
YSY,6,6,0
YSY,9,3,0
YSY,8,4,0
YSY,12,9,0
YSY,6,0,0
YSY,6,4,0
YSY,9,6,0
YSY,12,0,0
YSY,8,4,0
YSY,12,3,0
YSY,12,6,0
YSY,9,3,0
YSY,8,4,0
YSY,8,2,0
YSY,9,3,0
YSY,12,3,0
YSY,9,3,0
YSY,8,2,0
YSY,9,3,0
YSY,6,2,0
YSY,8,2,0
YSY,8,4,0
YSY,8,4,0
YSY,12,6,0
YSY,9,3,0
YSY,12,3,0
YSY,8,2,0
YSY,6,4,0
YSY,9,0,0
YSY,12,3,0
YSY,6,4,0
YSY,8,4,0
YSY,6,6,0
YSY,12,0,0
YSY,9,3,0
YSY,9,9,0
YSY,6,4,0
YSY,9,3,0
YSY,12,3,0
YSY,9,3,0
YSY,12,6,0
YSY,12,6,0
YSY,12,0,0
YSY,9,6,0
YSY,12,0,0
YSY,8,2,0
YSY,8,2,0
YSY,8,4,0
YSY,6,6,0
YSY,12,3,0
YSY,12,3,0
YSY,6,4,0
YSY,12,3,0
YSY,8,6,0
YSY,8,0,0
YSY,8,2,0
YSY,6,4,0
YSY,8,0,0
YSY,9,3,0
YSY,9,9,0
YSY,12,0,0
YSY,6,6,0
YSY,8,6,0
YSY,9,0,0
YSY,6,6,0
