name,input,output,delay
YSY,12,4,65537
YSY,8,2,65537
YSY,12,2,65537
YSY,9,2,65537
YSY,12,1,65537
YSY,9,1,65537
YSY,8,1,65537
YSY,9,1,65537
YSY,8,2,65537
YSY,8,1,65537
YSY,9,2,65537
YSY,6,2,65537
YSY,8,2,65537
YSY,6,3,65537
YSY,6,2,65537
YSY,12,2,65537
YSY,12,3,65537
YSY,8,4,65537
YSY,9,2,65537
YSY,12,0,65537
YSY,9,1,65537
YSY,9,1,65537
YSY,12,4,65537
YSY,8,2,65537
YSY,9,2,65537
YSY,6,3,65537
YSY,9,1,65537
YSY,6,3,65537
YSY,12,5,65537
YSY,6,2,65537
YSY,12,2,65537
YSY,12,0,65537
YSY,8,2,65537
YSY,8,0,65537
YSY,6,2,65537
YSY,8,3,65537
YSY,9,3,65537
YSY,12,2,65537
YSY,12,2,65537
YSY,6,2,65537
YSY,6,1,65537
YSY,9,3,65537
YSY,8,3,65537
YSY,12,4,65537
YSY,6,3,65537
YSY,6,2,65537
YSY,8,3,65537
YSY,9,4,65537
YSY,12,1,65537
YSY,9,2,65537
YSY,9,1,65537
YSY,8,3,65537
YSY,8,3,65537
YSY,9,3,65537
YSY,6,2,65537
YSY,12,2,65537
YSY,12,1,65537
YSY,9,2,65537
YSY,9,2,65537
YSY,8,2,65537
YSY,6,2,65537
YSY,8,2,65537
YSY,12,4,65537
YSY,9,3,65537
YSY,6,3,65537
YSY,8,0,65537
YSY,12,1,65537
YSY,8,2,65537
YSY,6,2,65537
YSY,6,2,65537
YSY,6,2,65537
YSY,9,1,65537
YSY,9,3,65537
YSY,12,2,65537
YSY,8,0,65537
YSY,6,3,65537
YSY,8,4,65537
YSY,6,3,65537
YSY,12,2,65537
YSY,6,3,65537
