name,input,output,delay
xxx,9,0,0.3
xxx,12,0,0
xxx,6,0,0.15
xxx,9,0,0.5
xxx,9,0,0
xxx,8,0,0.3
xxx,12,3,0.15
xxx,6,2,0.15
xxx,6,0,0.5
xxx,8,2,1
xxx,9,9,1
xxx,8,8,0.3
xxx,8,0,0
xxx,12,6,0.5
xxx,8,8,0.5
xxx,6,6,1
xxx,6,2,0
xxx,12,3,0
xxx,9,6,0.15
xxx,9,0,0
xxx,9,0,1
xxx,8,4,0.3
xxx,12,9,0.3
xxx,6,6,0.15
xxx,6,2,0.15
xxx,8,6,0.3
xxx,8,0,0.5
xxx,8,4,0
xxx,6,6,0.3
xxx,8,2,0
xxx,9,0,0.5
xxx,12,3,0.5
xxx,9,9,0.15
xxx,12,0,0.5
xxx,6,0,0.3
xxx,6,4,1
xxx,8,6,0.15
xxx,6,4,0.15
xxx,12,0,0.5
xxx,12,6,1
xxx,6,6,0.5
xxx,8,8,0.5
xxx,9,0,0.3
xxx,6,6,0.5
xxx,8,4,0.15
xxx,6,0,1
xxx,6,4,1
xxx,8,0,0.5
xxx,12,0,0.5
xxx,6,6,1
xxx,12,12,0.3
xxx,12,12,0.3
xxx,9,0,0.15
xxx,8,8,0.15
