Subject_ID,Session,Block_Type,Trial_Num,Stimulus,Angle,Mirror_Condition,SOA,Response_Key,ACC,RT,Flag,Early_Key,Repeated_Trial,Practice_Round,Timestamp
W,1,N,3,G,180,Normal,,j,1,1547.0,0,0,0,,2026-05-10T12:30:53.456Z
W,1,N,4,G,60,Normal,,j,1,946.0,0,0,0,,2026-05-10T12:30:56.129Z
W,1,N,5,J,240,Backward,,f,1,1125.0,0,0,0,,2026-05-10T12:30:58.992Z
W,1,N,6,R,180,Normal,,j,1,1239.0,0,0,0,,2026-05-10T12:31:01.948Z
W,1,N,7,G,180,Backward,,j,0,1742.0,0,0,0,,2026-05-10T12:31:05.408Z
W,1,N,11,G,300,Normal,,j,1,838.0,0,0,0,,2026-05-10T12:31:17.336Z
W,1,N,13,G,60,Backward,,f,1,944.0,0,0,0,,2026-05-10T12:31:22.379Z
W,1,N,14,R,0,Backward,,f,1,716.0,0,0,0,,2026-05-10T12:31:24.833Z
W,1,N,15,R,60,Backward,,f,1,687.0,0,0,0,,2026-05-10T12:31:27.251Z
W,1,N,16,R,240,Backward,,f,1,1442.0,0,0,0,,2026-05-10T12:31:30.412Z
W,1,N,17,G,240,Normal,,j,1,1805.0,0,0,0,,2026-05-10T12:31:33.940Z
W,1,N,18,J,120,Normal,,j,1,1694.0,0,0,0,,2026-05-10T12:31:37.355Z
W,1,N,19,R,120,Backward,,,0,,1,0,0,,2026-05-10T12:31:42.096Z
W,1,N,23,G,120,Backward,,j,0,1435.0,0,0,0,,2026-05-10T12:31:53.071Z
W,1,N,25,R,240,Normal,,j,1,839.0,0,0,0,,2026-05-10T12:31:58.971Z
W,1,N,26,R,180,Backward,,j,0,1214.0,0,0,0,,2026-05-10T12:32:01.922Z
W,1,N,28,R,60,Normal,,j,1,653.0,0,0,0,,2026-05-10T12:32:07.546Z
W,1,N,29,J,60,Normal,,j,1,556.0,0,0,0,,2026-05-10T12:32:09.831Z
W,1,N,36,J,120,Backward,,f,1,879.0,0,0,0,,2026-05-10T12:32:27.054Z
W,1,N,37,J,180,Normal,,j,1,2240.0,0,0,0,,2026-05-10T12:32:31.023Z
W,1,N,39,J,0,Normal,,j,1,724.0,0,0,0,,2026-05-10T12:32:37.203Z
W,1,N,42,G,0,Backward,,f,1,1175.0,0,0,0,,2026-05-10T12:32:46.599Z
W,1,N,46,J,0,Backward,,j,0,743.0,0,0,0,,2026-05-10T12:32:57.859Z
W,1,N,49,J,300,Normal,,j,1,882.0,0,0,0,,2026-05-10T12:33:06.754Z
W,1,N,54,R,0,Normal,,j,1,607.0,0,0,0,,2026-05-10T12:33:19.663Z
W,1,N,55,J,300,Backward,,f,1,887.0,0,0,0,,2026-05-10T12:33:22.277Z
W,1,N,56,G,120,Normal,,j,1,1469.0,0,0,0,,2026-05-10T12:33:25.464Z
W,1,N,58,J,60,Backward,,f,1,879.0,0,0,0,,2026-05-10T12:33:30.644Z
W,1,N,59,R,300,Backward,,f,1,784.0,0,0,0,,2026-05-10T12:33:33.152Z
W,1,N,61,G,240,Backward,,f,1,1644.0,0,0,0,,2026-05-10T12:33:38.966Z
W,1,N,62,G,0,Normal,,j,1,716.0,0,0,0,,2026-05-10T12:33:41.422Z
W,1,N,64,J,180,Backward,,f,1,1228.0,0,0,0,,2026-05-10T12:33:47.115Z
W,1,N,68,R,300,Normal,,j,1,670.0,0,0,0,,2026-05-10T12:33:56.730Z
W,1,N,70,R,120,Normal,,j,1,1153.0,0,0,0,,2026-05-10T12:34:02.172Z
W,1,N,71,J,240,Normal,,j,1,1455.0,0,0,0,,2026-05-10T12:34:05.349Z
W,1,N,72,G,300,Backward,,f,1,1185.0,0,0,0,,2026-05-10T12:34:08.258Z
W,1,I,4,G,240,Normal,,j,1,1609.0,0,0,0,,2026-05-10T12:34:58.558Z
W,1,I,6,J,0,Backward,,f,1,810.0,0,0,0,,2026-05-10T12:35:08.985Z
W,1,I,12,G,120,Backward,,f,1,920.0,0,0,0,,2026-05-10T12:35:41.994Z
W,1,I,13,R,240,Normal,,j,1,1371.0,0,0,0,,2026-05-10T12:35:47.512Z
W,1,I,17,J,120,Backward,,f,1,2044.0,0,0,0,,2026-05-10T12:36:09.407Z
W,1,I,18,G,0,Backward,,f,1,965.0,0,0,0,,2026-05-10T12:36:14.534Z
W,1,I,19,R,180,Backward,,j,0,1831.0,0,0,0,,2026-05-10T12:36:20.531Z
W,1,I,20,G,0,Normal,,j,1,609.0,0,0,0,,2026-05-10T12:36:25.295Z
W,1,I,24,G,60,Normal,,j,1,755.0,0,0,0,,2026-05-10T12:36:45.215Z
W,1,I,25,J,0,Normal,,j,1,649.0,0,0,0,,2026-05-10T12:36:50.015Z
W,1,I,27,G,240,Backward,,f,1,703.0,0,0,0,,2026-05-10T12:36:59.626Z
W,1,I,28,G,300,Normal,,j,1,1076.0,0,0,0,,2026-05-10T12:37:04.853Z
W,1,I,34,G,180,Backward,,j,0,2574.0,0,0,0,,2026-05-10T12:37:36.490Z
W,1,I,37,G,60,Backward,,f,1,1551.0,0,0,0,,2026-05-10T12:37:52.451Z
W,1,I,39,G,300,Backward,,f,1,1475.0,0,0,0,,2026-05-10T12:38:03.502Z
W,1,I,41,R,0,Normal,,j,1,554.0,0,0,0,,2026-05-10T12:38:13.110Z
W,1,I,42,R,120,Backward,,f,1,1028.0,0,0,0,,2026-05-10T12:38:18.300Z
W,1,I,44,J,180,Normal,,j,1,2419.0,0,0,0,,2026-05-10T12:38:29.926Z
W,1,I,46,J,60,Normal,,j,1,669.0,0,0,0,,2026-05-10T12:38:39.532Z
W,1,I,47,R,240,Backward,,f,1,1308.0,0,0,0,,2026-05-10T12:38:44.990Z
W,1,I,48,J,180,Backward,,f,1,1295.0,0,0,0,,2026-05-10T12:38:50.434Z
W,1,I,50,R,60,Normal,,j,1,633.0,0,0,0,,2026-05-10T12:39:00.129Z
W,1,I,51,R,180,Normal,,j,1,2159.0,0,0,0,,2026-05-10T12:39:06.442Z
W,1,I,52,R,300,Backward,,f,1,931.0,0,0,0,,2026-05-10T12:39:11.544Z
W,1,I,53,G,180,Normal,,j,1,2546.0,0,0,0,,2026-05-10T12:39:18.239Z
W,1,I,54,J,240,Backward,,f,1,1665.0,0,0,0,,2026-05-10T12:39:24.054Z
W,1,I,55,J,300,Normal,,j,1,729.0,0,0,0,,2026-05-10T12:39:28.943Z
W,1,I,56,R,60,Backward,,f,1,1584.0,0,0,0,,2026-05-10T12:39:34.675Z
W,1,I,57,G,120,Normal,,j,1,1546.0,0,0,0,,2026-05-10T12:39:40.370Z
W,1,I,58,R,120,Normal,,j,1,831.0,0,0,0,,2026-05-10T12:39:45.348Z
W,1,I,59,J,300,Backward,,f,1,1037.0,0,0,0,,2026-05-10T12:39:50.523Z
W,1,I,60,R,0,Backward,,f,1,894.0,0,0,0,,2026-05-10T12:39:55.550Z
W,1,I,63,R,300,Normal,,j,1,763.0,0,0,0,,2026-05-10T12:40:10.699Z
W,1,I,70,J,60,Backward,,j,0,1217.0,0,0,0,,2026-05-10T12:40:46.572Z
W,1,I,71,J,240,Normal,,j,1,1073.0,0,0,0,,2026-05-10T12:40:51.794Z
W,1,I,72,J,120,Normal,,j,1,1005.0,0,0,0,,2026-05-10T12:40:56.961Z
W,1,O,3,R,0,Normal,,j,1,629.0,0,0,0,,2026-05-10T12:58:36.693Z
W,1,O,6,G,0,Normal,,j,1,980.0,0,0,0,,2026-05-10T12:58:45.643Z
W,1,O,7,R,0,Backward,,f,1,1013.0,0,0,0,,2026-05-10T12:58:48.781Z
W,1,O,9,J,240,Backward,,f,1,1050.0,0,0,0,,2026-05-10T12:58:56.517Z
W,1,O,10,G,180,Backward,,f,1,2440.0,0,0,0,,2026-05-10T12:59:01.094Z
W,1,O,11,G,60,Backward,,f,1,892.0,0,0,0,,2026-05-10T12:59:04.115Z
W,1,O,12,J,120,Backward,,f,1,1439.0,0,0,0,,2026-05-10T12:59:07.690Z
W,1,O,14,J,180,Normal,,j,1,2381.0,0,0,0,,2026-05-10T12:59:15.086Z
W,1,O,15,J,300,Normal,,j,1,1102.0,0,0,0,,2026-05-10T12:59:18.314Z
W,1,O,16,G,0,Backward,,f,1,1223.0,0,0,0,,2026-05-10T12:59:21.658Z
W,1,O,17,G,120,Normal,,j,1,1027.0,0,0,0,,2026-05-10T12:59:24.821Z
W,1,O,19,G,120,Backward,,f,1,1345.0,0,0,0,,2026-05-10T12:59:31.807Z
W,1,O,23,R,240,Normal,,j,1,703.0,0,0,0,,2026-05-10T12:59:44.606Z
W,1,O,24,G,240,Backward,,f,1,1006.0,0,0,0,,2026-05-10T12:59:47.742Z
W,1,O,28,R,300,Normal,,j,1,707.0,0,0,0,,2026-05-10T12:59:59.724Z
W,1,O,29,R,240,Backward,,f,1,1020.0,0,0,0,,2026-05-10T13:00:02.890Z
W,1,O,30,J,60,Backward,,f,1,851.0,0,0,0,,2026-05-10T13:00:05.879Z
W,1,O,32,J,180,Backward,,f,1,1755.0,0,0,0,,2026-05-10T13:00:13.050Z
W,1,O,33,J,300,Backward,,f,1,795.0,0,0,0,,2026-05-10T13:00:15.989Z
W,1,O,35,J,60,Normal,,j,1,808.0,0,0,0,,2026-05-10T13:00:21.955Z
W,1,O,39,J,240,Normal,,j,1,1841.0,0,0,0,,2026-05-10T13:00:34.570Z
W,1,O,40,G,240,Normal,,j,1,827.0,0,0,0,,2026-05-10T13:00:37.521Z
W,1,O,42,R,180,Normal,,j,1,1615.0,0,0,0,,2026-05-10T13:00:44.395Z
W,1,O,43,G,60,Normal,,j,1,693.0,0,0,0,,2026-05-10T13:00:47.218Z
W,1,O,45,R,300,Backward,,f,1,993.0,0,0,0,,2026-05-10T13:00:53.245Z
W,1,O,49,G,300,Backward,,f,1,776.0,0,0,0,,2026-05-10T13:01:04.881Z
W,1,O,51,G,180,Normal,,j,1,1322.0,0,0,0,,2026-05-10T13:01:11.274Z
W,1,O,52,J,120,Normal,,j,1,774.0,0,0,0,,2026-05-10T13:01:14.182Z
W,1,O,53,R,180,Backward,,j,0,2726.0,0,0,0,,2026-05-10T13:01:19.035Z
W,1,O,56,R,120,Normal,,j,1,810.0,0,0,0,,2026-05-10T13:01:28.420Z
W,1,O,62,J,0,Backward,,f,1,826.0,0,0,0,,2026-05-10T13:01:45.474Z
W,1,O,63,R,60,Backward,,f,1,763.0,0,0,0,,2026-05-10T13:01:48.373Z
W,1,O,66,R,120,Backward,,f,1,1062.0,0,0,0,,2026-05-10T13:01:57.752Z
W,1,O,67,R,60,Normal,,j,1,677.0,0,0,0,,2026-05-10T13:02:00.557Z
W,1,O,70,J,0,Normal,,j,1,732.0,0,0,0,,2026-05-10T13:02:11.086Z
W,1,O,72,G,300,Normal,,j,1,721.0,0,0,0,,2026-05-10T13:02:18.244Z
W,1,B,2,J,300,Backward,700.0,f,1,1080.0,0,0,0,,2026-05-13T13:47:40.221Z
W,1,B,3,J,0,Normal,1000.0,j,1,721.0,0,0,0,,2026-05-13T13:47:46.108Z
W,1,B,4,R,0,Backward,700.0,f,1,939.0,0,0,0,,2026-05-13T13:47:51.899Z
W,1,B,5,G,60,Backward,1000.0,f,1,490.0,0,0,0,,2026-05-13T13:47:57.527Z
W,1,B,6,G,240,Normal,400.0,j,1,751.0,0,0,0,,2026-05-13T13:48:02.819Z
W,1,B,7,R,180,Backward,100.0,j,0,1108.0,0,0,0,,2026-05-13T13:48:08.188Z
W,1,B,10,G,0,Backward,400.0,f,1,586.0,0,0,0,,2026-05-13T13:48:24.473Z
W,1,B,13,G,300,Normal,700.0,j,1,1307.0,0,0,0,,2026-05-13T13:48:42.590Z
W,1,B,14,J,120,Backward,1000.0,f,1,1378.0,0,0,0,,2026-05-13T13:48:49.114Z
W,1,B,16,R,300,Backward,700.0,f,1,868.0,0,0,0,,2026-05-13T13:49:00.396Z
W,1,B,21,G,240,Normal,100.0,j,1,1019.0,0,0,0,,2026-05-13T13:49:29.101Z
W,1,B,22,R,300,Normal,100.0,j,1,760.0,0,0,0,,2026-05-13T13:49:34.122Z
