Subject_ID,Session,Block_Type,Trial_Num,Stimulus,Angle,Mirror_Condition,SOA,Response_Key,ACC,RT,Flag,Early_Key,Repeated_Trial,Practice_Round,Timestamp,Condition,StimType
W,1,N,1,7,240,Backward,,f,1,1676.0,0,0,0,,2026-05-10T12:30:46.464Z,7_N,Digit
W,1,N,2,2,120,Backward,,f,1,1979.0,0,0,0,,2026-05-10T12:30:50.176Z,2_N,Digit
W,1,N,8,7,60,Backward,,f,1,1615.0,0,0,0,,2026-05-10T12:31:08.752Z,7_N,Digit
W,1,N,9,5,120,Backward,,f,1,1655.0,0,0,0,,2026-05-10T12:31:12.144Z,5_N,Digit
W,1,N,10,2,0,Backward,,f,1,897.0,0,0,0,,2026-05-10T12:31:14.772Z,2_N,Digit
W,1,N,12,5,300,Normal,,j,1,646.0,0,0,0,,2026-05-10T12:31:19.704Z,5_N,Digit
W,1,N,20,7,300,Backward,,f,1,1388.0,0,0,0,,2026-05-10T12:31:45.211Z,7_N,Digit
W,1,N,21,7,300,Normal,,j,1,673.0,0,0,0,,2026-05-10T12:31:47.615Z,7_N,Digit
W,1,N,22,2,0,Normal,,j,1,573.0,0,0,0,,2026-05-10T12:31:49.908Z,2_N,Digit
W,1,N,24,2,60,Normal,,j,1,1605.0,0,0,0,,2026-05-10T12:31:56.399Z,2_N,Digit
W,1,N,27,7,180,Normal,,j,1,1518.0,0,0,0,,2026-05-10T12:32:05.171Z,7_N,Digit
W,1,N,30,7,60,Normal,,j,1,687.0,0,0,0,,2026-05-10T12:32:12.250Z,7_N,Digit
W,1,N,31,7,0,Backward,,f,1,668.0,0,0,0,,2026-05-10T12:32:14.639Z,7_N,Digit
W,1,N,32,5,0,Normal,,j,1,542.0,0,0,0,,2026-05-10T12:32:16.903Z,5_N,Digit
W,1,N,33,7,180,Backward,,f,1,929.0,0,0,0,,2026-05-10T12:32:19.557Z,7_N,Digit
W,1,N,34,2,120,Normal,,j,1,771.0,0,0,0,,2026-05-10T12:32:22.047Z,2_N,Digit
W,1,N,35,5,60,Normal,,j,1,642.0,0,0,0,,2026-05-10T12:32:24.426Z,5_N,Digit
W,1,N,38,2,180,Backward,,f,1,1992.0,0,0,0,,2026-05-10T12:32:34.739Z,2_N,Digit
W,1,N,40,2,180,Normal,,j,1,2063.0,0,0,0,,2026-05-10T12:32:41.007Z,2_N,Digit
W,1,N,41,2,300,Normal,,j,1,970.0,0,0,0,,2026-05-10T12:32:43.707Z,2_N,Digit
W,1,N,43,5,60,Backward,,f,1,1030.0,0,0,0,,2026-05-10T12:32:49.345Z,5_N,Digit
W,1,N,44,2,240,Backward,,f,1,1943.0,0,0,0,,2026-05-10T12:32:53.032Z,2_N,Digit
W,1,N,45,2,300,Backward,,f,1,651.0,0,0,0,,2026-05-10T12:32:55.398Z,2_N,Digit
W,1,N,47,5,240,Backward,,f,1,1888.0,0,0,0,,2026-05-10T12:33:01.478Z,5_N,Digit
W,1,N,48,2,60,Backward,,f,1,952.0,0,0,0,,2026-05-10T12:33:04.145Z,2_N,Digit
W,1,N,50,5,0,Backward,,f,1,660.0,0,0,0,,2026-05-10T12:33:09.131Z,5_N,Digit
W,1,N,51,5,180,Normal,,j,1,1312.0,0,0,0,,2026-05-10T12:33:12.166Z,5_N,Digit
W,1,N,52,5,240,Normal,,j,1,879.0,0,0,0,,2026-05-10T12:33:14.783Z,5_N,Digit
W,1,N,53,5,120,Normal,,f,0,812.0,0,0,0,,2026-05-10T12:33:17.321Z,5_N,Digit
W,1,N,57,5,300,Backward,,f,1,870.0,0,0,0,,2026-05-10T12:33:28.046Z,5_N,Digit
W,1,N,60,5,180,Backward,,f,1,721.0,0,0,0,,2026-05-10T12:33:35.589Z,5_N,Digit
W,1,N,63,7,120,Backward,,f,1,1005.0,0,0,0,,2026-05-10T12:33:44.155Z,7_N,Digit
W,1,N,65,7,240,Normal,,j,1,768.0,0,0,0,,2026-05-10T12:33:49.593Z,7_N,Digit
W,1,N,66,7,120,Normal,,j,1,718.0,0,0,0,,2026-05-10T12:33:52.026Z,7_N,Digit
W,1,N,67,7,0,Normal,,j,1,597.0,0,0,0,,2026-05-10T12:33:54.345Z,7_N,Digit
W,1,N,69,2,240,Normal,,j,1,841.0,0,0,0,,2026-05-10T12:33:59.294Z,2_N,Digit
W,1,I,1,5,60,Backward,,f,1,845.0,0,0,0,,2026-05-10T12:34:42.791Z,5_I,Digit
W,1,I,2,2,0,Backward,,f,1,861.0,0,0,0,,2026-05-10T12:34:47.805Z,2_I,Digit
W,1,I,3,5,240,Normal,,j,1,856.0,0,0,0,,2026-05-10T12:34:52.810Z,5_I,Digit
W,1,I,5,5,240,Backward,,f,1,1328.0,0,0,0,,2026-05-10T12:35:04.034Z,5_I,Digit
W,1,I,7,7,120,Backward,,f,1,946.0,0,0,0,,2026-05-10T12:35:14.078Z,7_I,Digit
W,1,I,8,2,60,Normal,,j,1,806.0,0,0,0,,2026-05-10T12:35:19.038Z,2_I,Digit
W,1,I,9,5,180,Backward,,f,1,2142.0,0,0,0,,2026-05-10T12:35:25.335Z,5_I,Digit
W,1,I,10,5,180,Normal,,j,1,2230.0,0,0,0,,2026-05-10T12:35:31.715Z,5_I,Digit
W,1,I,11,5,0,Normal,,j,1,1068.0,0,0,0,,2026-05-10T12:35:36.939Z,5_I,Digit
W,1,I,14,7,120,Normal,,j,1,840.0,0,0,0,,2026-05-10T12:35:52.502Z,7_I,Digit
W,1,I,15,7,180,Normal,,j,1,1393.0,0,0,0,,2026-05-10T12:35:58.055Z,7_I,Digit
W,1,I,16,5,0,Backward,,f,1,1044.0,0,0,0,,2026-05-10T12:36:03.238Z,5_I,Digit
W,1,I,21,7,180,Backward,,f,1,974.0,0,0,0,,2026-05-10T12:36:30.416Z,7_I,Digit
W,1,I,22,2,120,Backward,,f,1,877.0,0,0,0,,2026-05-10T12:36:35.422Z,2_I,Digit
W,1,I,23,5,300,Backward,,f,1,755.0,0,0,0,,2026-05-10T12:36:40.302Z,5_I,Digit
W,1,I,26,7,0,Backward,,f,1,629.0,0,0,0,,2026-05-10T12:36:54.780Z,7_I,Digit
W,1,I,29,2,240,Normal,,j,1,1194.0,0,0,0,,2026-05-10T12:37:10.216Z,2_I,Digit
W,1,I,30,2,240,Backward,,f,1,878.0,0,0,0,,2026-05-10T12:37:15.241Z,2_I,Digit
W,1,I,31,7,60,Normal,,j,1,688.0,0,0,0,,2026-05-10T12:37:20.069Z,7_I,Digit
W,1,I,32,2,120,Normal,,j,1,808.0,0,0,0,,2026-05-10T12:37:25.052Z,2_I,Digit
W,1,I,33,5,300,Normal,,j,1,547.0,0,0,0,,2026-05-10T12:37:29.757Z,5_I,Digit
W,1,I,35,2,180,Normal,,j,1,1197.0,0,0,0,,2026-05-10T12:37:41.818Z,2_I,Digit
W,1,I,36,7,300,Normal,,j,1,813.0,0,0,0,,2026-05-10T12:37:46.769Z,7_I,Digit
W,1,I,38,2,180,Backward,,f,1,1293.0,0,0,0,,2026-05-10T12:37:57.893Z,2_I,Digit
W,1,I,40,5,60,Normal,,j,1,761.0,0,0,0,,2026-05-10T12:38:08.407Z,5_I,Digit
W,1,I,43,7,300,Backward,,f,1,909.0,0,0,0,,2026-05-10T12:38:23.361Z,7_I,Digit
W,1,I,45,5,120,Normal,,j,1,655.0,0,0,0,,2026-05-10T12:38:34.734Z,5_I,Digit
W,1,I,49,2,60,Backward,,f,1,765.0,0,0,0,,2026-05-10T12:38:55.346Z,2_I,Digit
W,1,I,61,7,240,Backward,,f,1,1163.0,0,0,0,,2026-05-10T12:40:00.870Z,7_I,Digit
W,1,I,62,7,0,Normal,,j,1,778.0,0,0,0,,2026-05-10T12:40:05.782Z,7_I,Digit
W,1,I,64,7,240,Normal,,j,1,890.0,0,0,0,,2026-05-10T12:40:15.739Z,7_I,Digit
W,1,I,65,2,300,Normal,,j,1,731.0,0,0,0,,2026-05-10T12:40:20.618Z,2_I,Digit
W,1,I,66,5,120,Backward,,f,1,985.0,0,0,0,,2026-05-10T12:40:25.737Z,5_I,Digit
W,1,I,67,2,0,Normal,,j,1,694.0,0,0,0,,2026-05-10T12:40:30.562Z,2_I,Digit
W,1,I,68,2,300,Backward,,f,1,1610.0,0,0,0,,2026-05-10T12:40:36.312Z,2_I,Digit
W,1,I,69,7,60,Backward,,f,1,744.0,0,0,0,,2026-05-10T12:40:41.203Z,7_I,Digit
W,1,O,1,7,60,Backward,,f,1,1373.0,0,0,0,,2026-05-10T12:58:31.078Z,7_O,Digit
W,1,O,2,7,60,Normal,,j,1,708.0,0,0,0,,2026-05-10T12:58:33.926Z,7_O,Digit
W,1,O,4,7,300,Normal,,j,1,586.0,0,0,0,,2026-05-10T12:58:39.409Z,7_O,Digit
W,1,O,5,7,240,Backward,,f,1,977.0,0,0,0,,2026-05-10T12:58:42.522Z,7_O,Digit
W,1,O,8,7,180,Normal,,j,1,2391.0,0,0,0,,2026-05-10T12:58:53.318Z,7_O,Digit
W,1,O,13,7,120,Normal,,j,1,725.0,0,0,0,,2026-05-10T12:59:10.549Z,7_O,Digit
W,1,O,18,2,300,Backward,,f,1,1370.0,0,0,0,,2026-05-10T12:59:28.323Z,2_O,Digit
W,1,O,20,7,180,Backward,,f,1,2007.0,0,0,0,,2026-05-10T12:59:35.950Z,7_O,Digit
W,1,O,21,7,240,Normal,,j,1,760.0,0,0,0,,2026-05-10T12:59:38.850Z,7_O,Digit
W,1,O,22,5,0,Backward,,f,1,790.0,0,0,0,,2026-05-10T12:59:41.778Z,5_O,Digit
W,1,O,25,2,120,Normal,,j,1,855.0,0,0,0,,2026-05-10T12:59:50.743Z,2_O,Digit
W,1,O,26,2,240,Normal,,j,1,779.0,0,0,0,,2026-05-10T12:59:53.672Z,2_O,Digit
W,1,O,27,5,120,Normal,,j,1,1062.0,0,0,0,,2026-05-10T12:59:56.881Z,5_O,Digit
W,1,O,31,2,240,Backward,,f,1,1157.0,0,0,0,,2026-05-10T13:00:09.176Z,2_O,Digit
W,1,O,34,5,180,Normal,,j,1,884.0,0,0,0,,2026-05-10T13:00:18.998Z,5_O,Digit
W,1,O,36,2,60,Backward,,f,1,956.0,0,0,0,,2026-05-10T13:00:25.046Z,2_O,Digit
W,1,O,37,7,0,Normal,,j,1,637.0,0,0,0,,2026-05-10T13:00:27.810Z,7_O,Digit
W,1,O,38,5,240,Normal,,j,1,640.0,0,0,0,,2026-05-10T13:00:30.589Z,5_O,Digit
W,1,O,41,2,120,Backward,,f,1,977.0,0,0,0,,2026-05-10T13:00:40.633Z,2_O,Digit
W,1,O,44,5,60,Backward,,f,1,768.0,0,0,0,,2026-05-10T13:00:50.118Z,5_O,Digit
W,1,O,46,5,0,Normal,,j,1,652.0,0,0,0,,2026-05-10T13:00:56.029Z,5_O,Digit
W,1,O,47,2,300,Normal,,j,1,655.0,0,0,0,,2026-05-10T13:00:58.835Z,2_O,Digit
W,1,O,48,7,120,Backward,,f,1,968.0,0,0,0,,2026-05-10T13:01:01.948Z,7_O,Digit
W,1,O,50,5,300,Backward,,f,1,813.0,0,0,0,,2026-05-10T13:01:07.809Z,5_O,Digit
W,1,O,54,5,180,Backward,,f,1,1406.0,0,0,0,,2026-05-10T13:01:22.581Z,5_O,Digit
W,1,O,55,2,0,Backward,,f,1,760.0,0,0,0,,2026-05-10T13:01:25.474Z,2_O,Digit
W,1,O,57,7,300,Backward,,f,1,700.0,0,0,0,,2026-05-10T13:01:31.257Z,7_O,Digit
W,1,O,58,5,120,Backward,,f,1,943.0,0,0,0,,2026-05-10T13:01:34.337Z,5_O,Digit
W,1,O,59,5,60,Normal,,j,1,532.0,0,0,0,,2026-05-10T13:01:36.993Z,5_O,Digit
W,1,O,60,7,0,Backward,,f,1,665.0,0,0,0,,2026-05-10T13:01:39.792Z,7_O,Digit
W,1,O,61,2,0,Normal,,j,1,592.0,0,0,0,,2026-05-10T13:01:42.519Z,2_O,Digit
W,1,O,64,2,60,Normal,,j,1,821.0,0,0,0,,2026-05-10T13:01:51.333Z,2_O,Digit
W,1,O,65,5,240,Backward,,f,1,1084.0,0,0,0,,2026-05-10T13:01:54.546Z,5_O,Digit
W,1,O,68,2,180,Backward,,f,1,2613.0,0,0,0,,2026-05-10T13:02:05.292Z,2_O,Digit
W,1,O,69,5,300,Normal,,j,1,768.0,0,0,0,,2026-05-10T13:02:08.204Z,5_O,Digit
W,1,O,71,2,180,Normal,,j,1,2178.0,0,0,0,,2026-05-10T13:02:15.400Z,2_O,Digit
W,1,B,1,2,180,Backward,400.0,f,1,1837.0,0,0,0,,2026-05-13T13:47:34.306Z,2_B,Digit
W,1,B,8,5,120,Backward,100.0,f,1,1097.0,0,0,0,,2026-05-13T13:48:13.530Z,5_B,Digit
W,1,B,9,5,300,Backward,1000.0,f,1,658.0,0,0,0,,2026-05-13T13:48:19.337Z,5_B,Digit
W,1,B,11,7,60,Normal,400.0,j,1,723.0,0,0,0,,2026-05-13T13:48:29.757Z,7_B,Digit
W,1,B,12,2,180,Normal,400.0,j,1,2138.0,0,0,0,,2026-05-13T13:48:36.437Z,2_B,Digit
W,1,B,15,5,0,Normal,700.0,j,1,705.0,0,0,0,,2026-05-13T13:48:54.682Z,5_B,Digit
W,1,B,17,7,120,Backward,1000.0,f,1,913.0,0,0,0,,2026-05-13T13:49:06.474Z,7_B,Digit
W,1,B,18,7,240,Normal,700.0,j,1,853.0,0,0,0,,2026-05-13T13:49:12.182Z,7_B,Digit
W,1,B,19,5,180,Normal,400.0,j,1,1499.0,0,0,0,,2026-05-13T13:49:18.258Z,5_B,Digit
W,1,B,20,2,60,Backward,700.0,f,1,735.0,0,0,0,,2026-05-13T13:49:23.850Z,2_B,Digit
W,1,B,23,5,0,Normal,400.0,j,1,507.0,0,0,0,,2026-05-13T13:49:39.205Z,5_B,Digit
W,1,B,26,7,240,Backward,100.0,f,1,1097.0,0,0,0,,2026-05-13T13:49:55.185Z,7_B,Digit
W,1,B,27,5,180,Normal,1000.0,j,1,1673.0,0,0,0,,2026-05-13T13:50:02.006Z,5_B,Digit
W,1,B,29,2,180,Backward,1000.0,f,1,1528.0,0,0,0,,2026-05-13T13:50:14.340Z,2_B,Digit
W,1,B,46,5,0,Normal,1000.0,j,1,541.0,0,0,0,,2026-05-13T13:51:48.681Z,5_B,Digit
W,1,B,47,5,240,Backward,1000.0,f,1,714.0,0,0,0,,2026-05-13T13:51:54.545Z,5_B,Digit
W,1,B,48,7,120,Normal,700.0,j,1,737.0,0,0,0,,2026-05-13T13:52:00.133Z,7_B,Digit
W,1,B,49,7,240,Backward,400.0,f,1,1525.0,0,0,0,,2026-05-13T13:52:06.193Z,7_B,Digit
W,1,B,51,2,0,Normal,400.0,j,1,666.0,0,0,0,,2026-05-13T13:52:16.939Z,2_B,Digit
W,1,B,52,2,300,Normal,100.0,j,1,592.0,0,0,0,,2026-05-13T13:52:21.807Z,2_B,Digit
W,1,B,53,5,0,Backward,700.0,f,1,589.0,0,0,0,,2026-05-13T13:52:27.251Z,5_B,Digit
W,1,B,58,5,300,Normal,1000.0,j,1,646.0,0,0,0,,2026-05-13T13:52:55.993Z,5_B,Digit
W,1,B,62,5,120,Normal,1000.0,j,1,696.0,0,0,0,,2026-05-13T13:53:19.721Z,5_B,Digit
W,1,B,63,2,240,Normal,100.0,j,1,769.0,0,0,0,,2026-05-13T13:53:24.730Z,2_B,Digit
W,1,B,64,2,0,Normal,700.0,j,1,490.0,0,0,0,,2026-05-13T13:53:30.058Z,2_B,Digit
W,1,B,69,5,300,Backward,400.0,f,1,561.0,0,0,0,,2026-05-13T13:53:57.650Z,5_B,Digit
W,1,B,70,7,120,Backward,700.0,f,1,950.0,0,0,0,,2026-05-13T13:54:03.446Z,7_B,Digit
W,1,B,73,5,60,Backward,1000.0,f,1,547.0,0,0,0,,2026-05-13T13:54:20.609Z,5_B,Digit
W,1,B,75,7,180,Normal,1000.0,j,1,1497.0,0,0,0,,2026-05-13T13:54:32.637Z,7_B,Digit
W,1,B,76,7,180,Normal,100.0,j,1,672.0,0,0,0,,2026-05-13T13:54:37.553Z,7_B,Digit
W,1,B,78,2,120,Backward,1000.0,f,1,1038.0,0,0,0,,2026-05-13T13:54:49.353Z,2_B,Digit
W,1,B,79,7,240,Normal,400.0,j,1,678.0,0,0,0,,2026-05-13T13:54:54.577Z,7_B,Digit
W,1,B,81,7,120,Normal,1000.0,j,1,608.0,0,0,0,,2026-05-13T13:55:05.273Z,7_B,Digit
W,1,B,82,7,0,Normal,1000.0,j,1,615.0,0,0,0,,2026-05-13T13:55:11.038Z,7_B,Digit
W,1,B,86,7,0,Backward,1000.0,f,1,483.0,0,0,0,,2026-05-13T13:55:33.194Z,7_B,Digit
W,1,B,88,2,120,Backward,100.0,f,1,870.0,0,0,0,,2026-05-13T13:55:43.667Z,2_B,Digit
W,1,B,91,5,120,Normal,700.0,j,1,810.0,0,0,0,,2026-05-13T13:56:02.165Z,5_B,Digit
W,1,B,92,7,60,Normal,1000.0,j,1,450.0,0,0,0,,2026-05-13T13:56:07.749Z,7_B,Digit
W,1,B,96,5,240,Backward,400.0,f,1,1145.0,0,0,0,,2026-05-13T13:56:30.691Z,5_B,Digit
W,1,B,98,5,180,Backward,700.0,f,1,2262.0,0,0,0,,2026-05-13T13:56:43.969Z,5_B,Digit
W,1,B,99,5,300,Normal,400.0,j,1,527.0,0,0,0,,2026-05-13T13:56:49.042Z,5_B,Digit
W,1,B,100,7,300,Backward,700.0,f,1,508.0,0,0,0,,2026-05-13T13:56:54.392Z,7_B,Digit
W,1,B,102,2,0,Backward,700.0,f,1,638.0,0,0,0,,2026-05-13T13:57:07.459Z,2_B,Digit
W,1,B,104,5,300,Backward,100.0,f,1,643.0,0,0,0,,2026-05-13T13:57:17.650Z,5_B,Digit
W,1,B,105,2,120,Normal,1000.0,j,1,722.0,0,0,0,,2026-05-13T13:57:23.513Z,2_B,Digit
W,1,B,106,2,240,Backward,700.0,f,1,871.0,0,0,0,,2026-05-13T13:57:29.225Z,2_B,Digit
W,1,B,109,5,60,Normal,100.0,j,1,639.0,0,0,0,,2026-05-13T13:57:45.294Z,5_B,Digit
W,1,B,111,5,0,Backward,1000.0,f,1,556.0,0,0,0,,2026-05-13T13:57:56.309Z,5_B,Digit
W,1,B,117,5,300,Backward,700.0,f,1,607.0,0,0,0,,2026-05-13T13:58:29.521Z,5_B,Digit
W,1,B,119,2,120,Backward,700.0,f,1,634.0,0,0,0,,2026-05-13T13:58:40.949Z,2_B,Digit
W,1,B,122,5,180,Normal,700.0,j,1,1976.0,0,0,0,,2026-05-13T13:58:58.753Z,5_B,Digit
W,1,B,125,7,0,Normal,400.0,j,1,757.0,0,0,0,,2026-05-13T13:59:14.810Z,7_B,Digit
W,1,B,127,5,180,Backward,400.0,f,1,857.0,0,0,0,,2026-05-13T13:59:25.396Z,5_B,Digit
W,1,B,129,7,180,Backward,700.0,f,1,763.0,0,0,0,,2026-05-13T13:59:36.628Z,7_B,Digit
W,1,B,131,5,240,Normal,100.0,j,1,783.0,0,0,0,,2026-05-13T13:59:47.207Z,5_B,Digit
W,1,B,132,7,120,Backward,400.0,f,1,731.0,0,0,0,,2026-05-13T13:59:52.493Z,7_B,Digit
W,1,B,133,5,240,Normal,700.0,j,1,539.0,0,0,0,,2026-05-13T13:59:57.893Z,5_B,Digit
W,1,B,134,5,240,Backward,700.0,f,1,1123.0,0,0,0,,2026-05-13T14:00:03.865Z,5_B,Digit
W,1,B,135,7,240,Normal,1000.0,j,1,621.0,0,0,0,,2026-05-13T14:00:09.638Z,7_B,Digit
W,1,B,138,7,60,Backward,400.0,f,1,791.0,0,0,0,,2026-05-13T14:00:26.315Z,7_B,Digit
W,1,B,142,7,300,Backward,1000.0,f,1,563.0,0,0,0,,2026-05-13T14:00:49.511Z,7_B,Digit
W,1,B,143,5,300,Normal,700.0,j,1,542.0,0,0,0,,2026-05-13T14:00:54.911Z,5_B,Digit
W,1,B,144,7,60,Backward,700.0,f,1,792.0,0,0,0,,2026-05-13T14:01:00.546Z,7_B,Digit
W,1,B,146,5,300,Normal,100.0,j,1,558.0,0,0,0,,2026-05-13T14:01:10.280Z,5_B,Digit
W,1,B,147,5,0,Normal,100.0,j,1,559.0,0,0,0,,2026-05-13T14:01:15.091Z,5_B,Digit
W,1,B,148,7,300,Backward,400.0,f,1,515.0,0,0,0,,2026-05-13T14:01:20.149Z,7_B,Digit
W,1,B,150,7,60,Normal,100.0,j,1,669.0,0,0,0,,2026-05-13T14:01:30.901Z,7_B,Digit
W,1,B,151,5,60,Normal,700.0,j,1,405.0,0,0,0,,2026-05-13T14:01:36.169Z,5_B,Digit
W,1,B,152,2,120,Normal,100.0,j,1,680.0,0,0,0,,2026-05-13T14:01:41.107Z,2_B,Digit
W,1,B,153,2,240,Normal,1000.0,j,1,1330.0,0,0,0,,2026-05-13T14:01:47.581Z,2_B,Digit
W,1,B,154,2,120,Normal,400.0,j,1,873.0,0,0,0,,2026-05-13T14:01:53.009Z,2_B,Digit
W,1,B,157,2,60,Normal,400.0,j,1,603.0,0,0,0,,2026-05-13T14:02:09.310Z,2_B,Digit
W,1,B,158,7,300,Backward,100.0,f,1,639.0,0,0,0,,2026-05-13T14:02:14.195Z,7_B,Digit
W,1,B,159,7,300,Normal,1000.0,j,1,551.0,0,0,0,,2026-05-13T14:02:19.906Z,7_B,Digit
W,1,B,160,2,300,Normal,700.0,j,1,909.0,0,0,0,,2026-05-13T14:02:25.667Z,2_B,Digit
W,1,B,161,7,300,Normal,100.0,j,1,693.0,0,0,0,,2026-05-13T14:02:30.607Z,7_B,Digit
W,1,B,163,5,120,Backward,1000.0,f,1,486.0,0,0,0,,2026-05-13T14:02:41.706Z,5_B,Digit
