name,input,output,delay
C,6,5.8,65537
C,8,6.2,65537
C,9,5.9,65537
C,12,5.5,65537
C,6,5.9,0
C,8,7.1,0
C,9,7.5,0
C,12,7.2,0
L,6,5.7,65537
L,8,6.1,65537
L,9,5.8,65537
L,12,5.3,65537
L,6,6.0,0
L,8,7.3,0
L,9,7.6,0
L,12,7.4,0
W,6,5.9,65537
W,8,6.3,65537
W,9,6.0,65537
W,12,5.6,65537
W,6,6.1,0
W,8,7.2,0
W,9,7.4,0
W,12,7.3,0
C,6,5.7,65537
C,8,6.1,65537
C,9,5.8,65537
C,12,5.4,65537
C,6,6.0,0
C,8,7.2,0
C,9,7.4,0
C,12,7.1,0
L,6,5.6,65537
L,8,6.0,65537
L,9,5.7,65537
L,12,5.2,65537
L,6,5.9,0
L,8,7.2,0
L,9,7.5,0
L,12,7.3,0
W,6,5.8,65537
W,8,6.2,65537
W,9,5.9,65537
W,12,5.5,65537
W,6,6.0,0
W,8,7.1,0
W,9,7.3,0
W,12,7.2,0
C,6,5.9,65537
C,8,6.3,65537
C,9,6.0,65537
C,12,5.6,65537
C,6,6.1,0
C,8,7.3,0
C,9,7.6,0
C,12,7.3,0
L,6,5.8,65537
L,8,6.2,65537
L,9,5.9,65537
L,12,5.4,65537
L,6,6.1,0
L,8,7.4,0
L,9,7.7,0
L,12,7.5,0
W,6,5.7,65537
W,8,6.1,65537
W,9,5.8,65537
W,12,5.4,65537
W,6,5.9,0
W,8,7.0,0
W,9,7.2,0
W,12,7.1,0
C,6,5.6,65537
C,8,6.0,65537
C,9,5.7,65537
C,12,5.3,65537
C,6,5.8,0
C,8,7.0,0
C,9,7.3,0
C,12,7.0,0
L,6,5.9,65537
L,8,6.3,65537
L,9,6.0,65537
L,12,5.6,65537
L,6,6.2,0
L,8,7.5,0
L,9,7.8,0
L,12,7.6,0
W,6,5.9,65537
W,8,6.3,65537
W,9,6.0,65537
W,12,5.6,65537
W,6,6.2,0
W,8,7.3,0
W,9,7.5,0
W,12,7.4,0
C,6,5.8,65537
C,8,6.2,65537
C,9,5.9,65537
C,12,5.5,65537
C,6,6.0,0
C,8,7.2,0
C,9,7.5,0
C,12,7.2,0
L,6,5.7,65537
L,8,6.1,65537
