name,input,output,delay
C,9,3,1
C,12,0,65537
C,9,6,0
C,9,6,1
C,6,4,65537
C,9,9,0.3
C,8,8,0
C,12,0,65537
C,9,3,1
C,9,3,0
C,9,3,0.5
C,8,0,65537
C,9,3,1
C,9,6,0.5
C,9,0,0.5
C,9,2,65537
C,8,2,65537
C,6,1,65537
C,8,2,0
C,8,2,65537
C,6,0,0
C,8,3,65537
C,12,0,65537
C,12,0,65537
C,9,0,0
C,6,6,0
C,9,0,1
C,9,3,0.5
C,9,0,0
C,9,3,0.3
C,9,3,1
C,12,2,65537
C,9,6,1
C,6,2,0
C,9,9,0.5
C,9,9,0
C,9,2,65537
C,9,0,-0.1
C,9,0,1
C,9,0,0
C,8,8,0
C,9,0,0
C,9,3,65537
C,9,9,-0.1
C,8,4,0
C,6,3,65537
C,9,3,0.3
C,9,3,65537
C,9,6,1
C,6,4,65537
C,8,2,0
C,12,1,65537
C,9,6,0.3
C,9,0,0.5
C,12,0,0
C,6,0,0
C,9,6,-0.1
C,9,0,1
C,9,0,0
C,8,1,65537
C,8,0,0
C,9,0,0
C,9,3,-0.1
C,9,0,0.5
C,8,2,0
C,12,0,65537
C,12,0,0
C,12,3,0
C,12,1,65537
C,9,9,0.5
C,9,0,0.3
C,9,0,-0.1
C,6,2,0
C,9,3,0
C,6,3,65537
C,6,4,0
C,8,3,65537
C,12,9,0
C,9,1,65537
C,9,3,65537
C,8,1,65537
C,8,2,0
C,6,6,0
C,12,3,0
C,9,3,0
C,8,2,65537
C,12,0,0
C,12,3,0
C,9,4,65537
C,6,0,0
C,6,3,65537
C,9,9,0.3
C,9,2,65537
C,6,2,65537
C,9,0,1
C,6,3,65537
C,8,3,65537
C,9,9,0.3
C,6,2,0
C,9,6,0
C,9,0,65537
C,9,9,0.5
C,12,0,0
C,8,4,0
C,8,2,0
C,9,0,-0.1
C,8,4,0
C,9,0,0
C,8,1,65537
C,6,3,65537
C,12,2,65537
C,9,6,0
C,8,2,65537
C,12,3,65537
C,9,3,65537
C,8,3,65537
C,12,12,0
C,6,3,65537
C,9,3,-0.1
C,9,9,0.5
C,9,9,1
C,9,0,0.3
C,9,1,65537
C,8,4,0
C,9,0,1
C,6,6,0
C,9,0,1
C,6,2,0
C,9,6,-0.1
C,9,0,1
C,9,3,0.3
C,6,3,65537
C,9,3,-0.1
C,9,6,0
C,8,3,65537
C,6,4,0
C,12,0,0
C,12,4,65537
C,12,3,0
C,12,3,65537
C,8,6,0
C,9,0,0.3
C,6,3,65537
C,9,3,65537
C,12,3,65537
C,8,4,0
C,9,0,-0.1
C,6,6,0
C,9,0,0.5
C,9,6,0.5
C,9,9,0.5
C,9,6,0
C,6,3,65537
C,9,3,1
C,9,2,65537
C,6,3,65537
C,9,3,65537
C,8,2,0
C,12,0,0
C,6,3,65537
C,9,0,65537
C,9,0,-0.1
C,9,3,0.3
C,9,3,0.5
C,6,3,65537
C,9,6,0
C,9,3,0.3
C,9,3,65537
C,12,0,0
C,12,6,0
C,8,2,65537
C,6,3,65537
C,9,0,-0.1
C,9,0,0
C,8,4,0
C,6,0,0
C,12,3,0
C,12,9,0
C,12,2,65537
C,9,3,0.5
C,12,4,65537
C,9,0,-0.1
C,12,6,0
C,8,2,65537
C,9,0,-0.1
C,6,6,0
C,8,0,0
C,9,3,0.3
C,12,0,65537
C,9,6,1
C,6,3,65537
C,9,0,0.5
C,9,0,1
C,8,2,65537
C,8,0,0
C,9,0,-0.1
C,12,2,65537
C,9,6,-0.1
C,9,6,0.3
C,12,2,65537
C,9,4,65537
C,9,0,1
C,9,6,0.3
C,9,0,0.5
C,6,4,0
C,9,0,1
C,6,2,0
C,12,0,65537
C,6,6,0
C,12,3,65537
C,8,2,65537
C,9,0,65537
C,9,9,-0.1
C,12,0,0
C,9,3,0
C,6,3,65537
C,6,4,0
C,9,6,0.3
C,9,0,0.3
C,9,3,65537
C,9,3,0.5
C,9,0,0.5
C,8,2,0
C,9,3,65537
C,8,3,65537
C,8,2,65537
C,9,0,0.3
C,8,2,0
C,9,3,-0.1
C,8,3,65537
C,9,3,-0.1
C,9,3,0.5
C,9,6,0.3
C,12,0,0
C,9,6,0.3
C,12,3,0
C,6,2,65537
C,9,3,-0.1
C,6,6,0
C,9,0,0
L,9,0,-0.1
L,9,0,1
L,9,6,0.5
L,9,6,0.5
L,9,0,0.5
L,9,6,-0.1
L,9,9,-0.1
L,9,6,0.5
L,9,0,0.5
L,9,0,0.3
L,9,0,1
L,9,3,1
L,9,9,1
L,9,9,0.3
L,9,9,0.3
L,9,9,0.5
L,9,0,-0.1
L,9,6,0.3
L,9,3,0.3
L,9,0,0.3
L,9,0,0.3
L,9,0,0.3
L,9,9,-0.1
L,9,6,0.5
L,9,6,0.3
L,9,6,1
L,9,0,1
L,9,0,1
L,9,0,0.3
L,9,6,1
L,9,3,-0.1
L,9,6,0.5
L,9,6,0.3
L,9,3,-0.1
L,9,6,-0.1
L,9,0,0.5
L,9,6,-0.1
L,9,9,-0.1
L,9,3,0.5
L,9,9,0.3
L,9,6,-0.1
L,9,3,0.5
L,9,3,-0.1
L,9,0,0.3
L,9,3,-0.1
L,9,3,1
L,9,9,-0.1
L,9,3,0.3
L,9,6,0.5
L,9,0,1
L,9,9,-0.1
L,9,9,-0.1
L,9,6,0.3
L,9,0,0.3
L,9,6,1
L,9,3,1
L,9,6,0.5
L,9,0,1
L,9,3,-0.1
L,9,0,1
L,9,0,0.5
L,9,0,1
L,9,0,0.3
L,9,0,0.5
L,9,0,0.5
L,9,3,0.5
L,9,0,0.5
L,9,3,1
L,9,6,0.3
L,9,0,1
L,9,9,-0.1
L,9,3,-0.1
L,9,0,0.5
L,9,6,0.3
L,9,0,1
L,9,0,0.3
L,9,3,1
L,9,0,1
L,9,3,-0.1
L,9,9,0.5
L,9,3,0
L,9,0,0
L,6,6,0
L,6,6,0
L,6,6,0
L,6,4,0
L,9,3,0
L,12,0,0
L,6,6,0
L,12,3,0
L,8,4,0
L,9,0,0
L,8,2,0
L,6,6,0
L,6,2,0
L,6,6,0
L,9,3,0
L,8,4,0
L,12,9,0
L,6,0,0
L,6,4,0
L,9,6,0
L,12,0,0
L,8,4,0
L,12,3,0
L,12,6,0
L,9,3,0
L,8,4,0
L,8,2,0
L,9,3,0
L,12,3,0
L,9,3,0
L,8,2,0
L,9,3,0
L,6,2,0
L,8,2,0
L,8,4,0
L,8,4,0
L,12,6,0
L,9,3,0
L,12,3,0
L,8,2,0
L,6,4,0
L,9,0,0
L,12,3,0
L,6,4,0
L,8,4,0
L,6,6,0
L,12,0,0
L,9,3,0
L,9,9,0
L,6,4,0
L,9,3,0
L,12,3,0
L,9,3,0
L,12,6,0
L,12,6,0
L,12,0,0
L,9,6,0
L,12,0,0
L,8,2,0
L,8,2,0
L,8,4,0
L,6,6,0
L,12,3,0
L,12,3,0
L,6,4,0
L,12,3,0
L,8,6,0
L,8,0,0
L,8,2,0
L,6,4,0
L,8,0,0
L,9,3,0
L,9,9,0
L,12,0,0
L,6,6,0
L,8,6,0
L,9,0,0
L,6,6,0
L,12,4,65537
L,8,2,65537
L,12,2,65537
L,9,2,65537
L,12,1,65537
L,9,1,65537
L,8,1,65537
L,9,1,65537
L,8,2,65537
L,8,1,65537
L,9,2,65537
L,6,2,65537
L,8,2,65537
L,6,3,65537
L,6,2,65537
L,12,2,65537
L,12,3,65537
L,8,4,65537
L,9,2,65537
L,12,0,65537
L,9,1,65537
L,9,1,65537
L,12,4,65537
L,8,2,65537
L,9,2,65537
L,6,3,65537
L,9,1,65537
L,6,3,65537
L,12,5,65537
L,6,2,65537
L,12,2,65537
L,12,0,65537
L,8,2,65537
L,8,0,65537
L,6,2,65537
L,8,3,65537
L,9,3,65537
L,12,2,65537
L,12,2,65537
L,6,2,65537
L,6,1,65537
L,9,3,65537
L,8,3,65537
L,12,4,65537
L,6,3,65537
L,6,2,65537
L,8,3,65537
L,9,4,65537
L,12,1,65537
L,9,2,65537
L,9,1,65537
L,8,3,65537
L,8,3,65537
L,9,3,65537
L,6,2,65537
L,12,2,65537
L,12,1,65537
L,9,2,65537
L,9,2,65537
L,8,2,65537
L,6,2,65537
L,8,2,65537
L,12,4,65537
L,9,3,65537
L,6,3,65537
L,8,0,65537
L,12,1,65537
L,8,2,65537
L,6,2,65537
L,6,2,65537
L,6,2,65537
L,9,1,65537
L,9,3,65537
L,12,2,65537
L,8,0,65537
L,6,3,65537
L,8,4,65537
L,6,3,65537
L,12,2,65537
L,6,3,65537
Z,9,0,-0.1
Z,9,3,0.3
Z,9,0,1
Z,9,9,0.5
Z,9,3,1
Z,9,0,0.3
Z,9,3,1
Z,9,3,0.3
Z,9,0,1
Z,6,6,0
Z,12,3,0
Z,8,0,0
Z,6,2,0
Z,12,3,0
Z,12,6,0
Z,12,0,0
Z,6,2,0
Z,6,4,0
Z,9,9,0
Z,12,3,0
Z,12,9,0
Z,9,9,0
Z,9,3,0
Z,6,2,0
Z,6,4,0
Z,8,4,0
Z,8,4,0
Z,9,0,0
Z,12,0,0
Z,8,2,0
Z,9,3,0
Z,6,4,0
Z,6,6,0
Z,8,8,0
Z,8,0,0
Z,8,2,0
Z,8,6,0
Z,9,3,65537
Z,6,2,65537
Z,9,3,65537
Z,9,3,65537
Z,6,2,65537
Z,8,3,65537
Z,6,5,65537
Z,9,3,65537
Z,8,2,65537
Z,8,2,65537
Z,9,2,65537
Z,6,3,65537
Z,6,0,65537
Z,12,3,65537
Z,6,3,65537
Z,6,3,65537
Z,9,2,65537
Z,12,3,65537
Z,12,2,65537
Z,12,1,65537
Z,8,3,65537
Z,12,2,65537
W,6,0,65537
W,9,0,65537
W,9,0,0.5
W,6,6,-0.1
W,8,8,-0.1
W,9,0,0.15
W,9,9,-0.1
W,8,0,-0.1
W,8,0,65537
W,9,0,0.3
W,12,0,0
W,6,0,0.15
W,9,0,0.5
W,9,0,0
W,8,0,0.3
W,12,3,0.15
W,6,2,0.15
W,6,0,0.5
W,8,2,1
W,9,9,1
W,8,8,0.3
W,8,0,0
W,12,6,0.5
W,8,8,0.5
W,6,6,1
W,6,2,0
W,12,3,0
W,9,6,0.15
W,9,0,0
W,9,0,1
W,8,4,0.3
W,12,9,0.3
W,6,6,0.15
W,6,2,0.15
W,8,6,0.3
W,8,0,0.5
W,8,4,0
W,6,6,0.3
W,8,2,0
W,9,0,0.5
W,12,3,0.5
W,9,9,0.15
W,12,0,0.5
W,6,0,0.3
W,6,4,1
W,8,6,0.15
W,6,4,0.15
W,12,0,0.5
W,12,6,1
W,6,6,0.5
W,8,8,0.5
W,9,0,0.3
W,6,6,0.5
W,8,4,0.15
W,6,0,1
W,6,4,1
W,8,0,0.5
W,12,0,0.5
W,6,6,1
W,12,12,0.3
W,12,12,0.3
W,9,0,0.15
W,8,8,0.15
W,12,0,65537
W,6,2,65537
W,12,0,65537
W,6,4,65537
W,8,0,65537
W,9,4,65537
W,8,4,65537
W,12,0,65537
W,9,2,65537
W,12,0,65537
